브랜드명,지점명,시도명,시군구명,주소
엔제리너스,김해장유점,경상남도,김해시,경상남도 김해시 번화1로84번길 8
엔제리너스,언양삼남점,울산광역시,울주군,울산광역시 울주군 봉화로 10
엔제리너스,김해아울렛식당가점,경상남도,김해시,경상남도 김해시 장유로 469 롯데아울렛
엔제리너스,김해봉황DI점,경상남도,김해시,경상남도 김해시 봉황동 49-18
엔제리너스,김해아이스퀘어점,경상남도,김해시,경상남도 김해시 부원동 939 (부원역세권지구 A-1블럭 아이스퀘어 1~2층 )
엔제리너스,통영산양점,경상남도,통영시,경상남도 통영시 산양일주로 315 유성갈비
엔제리너스,울산굴화DI,울산광역시,울주군,울산광역시 울주근 범서읍 울밀로 2848-3
엔제리너스,김해공항국제선점,부산광역시,강서구,부산광역시 강서구 공항진입  108 김해공항 국제선 면세구역
엔제리너스,김해공항점,부산광역시,강서구,부산광역시 강서구 공항진입로 108
엔제리너스,울산대점,울산광역시,남구,울산광역시 남구 대학로 94
엔제리너스,부산수정역DI점,부산광역시,북구,부산광역시 북구 금곡대로 201
엔제리너스,부산덕천점,부산광역시,북구,부산광역시 북구 덕천1길 24
엔제리너스,센트럴병원점,부산광역시,북구,"부산광역시 북구 만덕대로 37, 센트럴 병원 1층"
엔제리너스,부산신모라점,부산광역시,사상구,부산광역시 사상구 모라로 98-9 OK삼겹살감자탕
엔제리너스,부산사상,부산광역시,사상구,부산광역시 사상구 사상로 220 신한은행사상중앙지점
엔제리너스,거제옥포점,경상남도,거제시,경상남도 거제시 옥포대첩로 57
엔제리너스,르네상스점,부산광역시,사상구,부산광역시 사상구 광장로 60 르네상스 호텔
엔제리너스,롯데마트거제옥포점,경상남도,거제시,경상남도 거제시 옥포동 241-1
엔제리너스,부산만덕점,부산광역시,북구,부산광역시 북구 덕천로 313
엔제리너스,울산성남강변점,울산광역시,중구,울산광역시 중구 강북로 105 롯데캐슬스카이
엔제리너스,부산두실역점,부산광역시,금정구,부산광역시 금정구 중앙대로 1942 우남타워 1층
엔제리너스,거제아주,경상남도,거제시,경상남도 거제시 아주로 20-1
엔제리너스,울산병영점,울산광역시,중구,울산광역시 중구 번영로 583
엔제리너스,부산주례점,부산광역시,사상구,부산광역시 사상구 주례로10번길 110 주례맨션
엔제리너스,부산당리점,부산광역시,사하구,부산광역시 사하구 낙동대로 433
엔제리너스,사직야구장점,부산광역시,동래구,부산광역시 동래구 사직로 45
