date,team,1,2,3,4,5,6,7,8,9,선발투수
2022-04-19,KIA,박찬호,김선빈,나성범,최형우,황대인,소크라테스,김석환,김민식,김도영,한승혁
2022-04-20,KT,김민혁,황재균,조용호,박병호,라모스,장성우,홍현빈,신본기,심우준,소형준
2022-04-20,LG,홍창기,박해민,김현수,채은성,문보경,유강남,오지환,루이즈,서건창,플럿코
2022-04-20,키움,이용규,김혜성,이정후,푸이그,송성문,이지영,전병우,김주형,박찬혁,안우진
2022-04-20,SSG,추신수,최지훈,최정,한유섬,크론,최주환,박성한,김강민,이재원,폰트
2022-04-20,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,이성곤,노수광,임종찬,박윤철
2022-04-20,롯데,정훈,안치홍,한동희,전준우,이대호,피터스,이학주,신용수,정보근,박세웅
2022-04-20,삼성,김상수,구자욱,피렐라,오재일,강민호,김동엽,김헌곤,이재현,김지찬,뷰캐넌
2022-04-20,NC,김기환,손아섭,박건우,양의지,마티니,노진혁,박준영,오영수,서호철,루친스키
2022-04-20,두산,허경민,김인태,페르난데스,김재환,강진성,김재호,박세혁,박계범,정수빈,스탁
2022-04-20,KIA,류지혁,김선빈,나성범,최형우,황대인,소크라테스,김석환,한승택,김도영,양현종
2022-04-21,KT,김민혁,황재균,라모스,박병호,장성우,홍현빈,박경수,김준태,심우준,데스파이네
2022-04-21,LG,홍창기,박해민,김현수,문보경,문성주,오지환,서건창,루이즈,허도환,손주영
2022-04-21,키움,이용규,김혜성,이정후,푸이그,송성문,박동원,전병우,김주형,박찬혁,애플러
2022-04-21,SSG,추신수,최지훈,최주환,한유섬,크론,박성한,김성현,김강민,이재원,김광현
2022-04-21,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,장운호,이원석,허인서,윤대경
2022-04-21,롯데,정훈,안치홍,한동희,전준우,이대호,피터스,이학주,신용수,정보근,김진욱
2022-04-21,삼성,김지찬,구자욱,피렐라,오재일,김동엽,김태군,이재현,김성윤,김상수,수아레즈
2022-04-21,NC,김기환,손아섭,박건우,양의지,마티니,노진혁,도태훈,박대온,박준영,파슨스
2022-04-21,두산,정수빈,김인태,허경민,김재환,페르난데스,김재호,오재원,박계범,장승현,최원준
2022-04-21,KIA,류지혁,김선빈,나성범,최형우,황대인,소크라테스,김석환,김민식,김도영,놀린
2022-04-22,LG,박해민,오지환,홍창기,김현수,채은성,문성주,유강남,루이즈,서건창,켈리
2022-04-22,두산,정수빈,김인태,페르난데스,김재환,허경민,오재원,안재석,박세혁,김재호,이영하
2022-04-22,롯데,정훈,안치홍,한동희,전준우,이대호,피터스,조세진,이학주,지시완,반즈
2022-04-22,삼성,김상수,구자욱,피렐라,오재일,김동엽,김태군,박승규,이재현,김지찬,백정현
2022-04-22,NC,김기환,손아섭,박건우,양의지,마티니,노진혁,박준영,오영수,서호철,신민혁
2022-04-22,KT,김민혁,황재균,라모스,박병호,장성우,배정대,김병희,오윤석,심우준,배제성
2022-04-22,KIA,김도영,김선빈,나성범,황대인,소크라테스,이창진,이우성,한승택,류지혁,로니
2022-04-22,키움,이용규,김혜성,이정후,푸이그,송성문,박동원,전병우,김주형,박찬혁,요키시
2022-04-22,SSG,추신수,최지훈,최주환,한유섬,크론,박성한,김강민,김성현,이흥련,노경은
2022-04-22,한화,이도윤,최재훈,터크먼,노시환,하주석,김태연,이성곤,장운호,임종찬,장민재
2022-04-23,KIA,김도영,김선빈,나성범,최형우,황대인,소크라테스,이창진,김민식,류지혁,이의리
2022-04-23,키움,이용규,김혜성,이정후,박동원,송성문,이지영,전병우,김주형,박찬혁,최원태
2022-04-23,LG,박해민,오지환,홍창기,김현수,채은성,문성주,유강남,루이즈,김민성,임준형
2022-04-23,두산,김인태,정수빈,페르난데스,김재환,허경민,안재석,강승호,박계범,장승현,미란다
2022-04-23,롯데,정훈,이학주,한동희,전준우,이대호,피터스,김민수,고승민,지시완,스파크맨
2022-04-23,삼성,김지찬,구자욱,피렐라,오재일,강민호,김동엽,김성윤,이재현,강한울,황동재
2022-04-23,NC,김기환,손아섭,박건우,양의지,마티니,노진혁,전민수,박준영,서호철,송명기
2022-04-23,KT,홍현빈,황재균,라모스,박병호,김민혁,배정대,오윤석,김준태,신본기,엄상백
2022-04-23,SSG,추신수,최지훈,한유섬,크론,김강민,박성한,최주환,김성현,이재원,노바
2022-04-23,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,노수광,박정현,임종찬,남지민
2022-04-24,LG,박해민,문성주,홍창기,김현수,유강남,채은성,오지환,루이즈,서건창,임찬규
2022-04-24,두산,김인태,정수빈,페르난데스,김재환,허경민,오재원,안재석,박계범,박세혁,곽빈
2022-04-24,롯데,정훈,이학주,한동희,이대호,피터스,김민수,고승민,조세진,정보근,이인복
2022-04-24,삼성,김지찬,구자욱,피렐라,오재일,김동엽,강민호,박승규,이재현,김상수,양창섭
2022-04-24,NC,김기환,손아섭,박건우,양의지,마티니,노진혁,서호철,박준영,박대온,김태경
2022-04-24,KT,조용호,황재균,김민혁,박병호,장성우,오윤석,배정대,홍현빈,심우준,고영표
2022-04-24,KIA,류지혁,김도영,나성범,최형우,황대인,소크라테스,김석환,김민식,김규성,한승혁
2022-04-24,키움,이용규,김혜성,이정후,푸이그,송성문,김재현,전병우,김주형,박찬혁,한현희
2022-04-24,SSG,최지훈,김강민,최주환,한유섬,크론,박성한,김성현,최항,이재원,오원석
2022-04-24,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,노수광,박정현,장운호,김민우
2022-04-26,NC,손아섭,박건우,마티니,양의지,노진혁,박준영,오영수,서호철,김기환,루친스키
2022-04-26,두산,김인태,정수빈,페르난데스,김재환,허경민,강진성,안재석,강승호,박세혁,스탁
2022-04-26,SSG,최지훈,최주환,최정,한유섬,크론,박성한,오태곤,안상현,이흥련,폰트
2022-04-26,롯데,정훈,이학주,한동희,안치홍,이대호,피터스,고승민,신용수,정보근,김진욱
2022-04-26,LG,박해민,문성주,홍창기,김현수,문보경,유강남,오지환,루이즈,서건창,플럿코
2022-04-26,삼성,김지찬,구자욱,피렐라,오재일,김동엽,강민호,김성윤,이재현,김상수,뷰캐넌
2022-04-26,KIA,류지혁,김선빈,나성범,최형우,황대인,소크라테스,박동원,김석환,김도영,양현종
2022-04-26,KT,배정대,황재균,김민혁,박병호,오윤석,박경수,김준태,송민섭,심우준,데스파이네
2022-04-26,키움,이용규,박찬혁,김혜성,푸이그,송성문,이지영,전병우,김주형,박준태,안우진
2022-04-26,한화,정은원,최재훈,터크먼,노시환,김태연,하주석,노수광,박정현,임종찬,박윤철
2022-04-27,NC,손아섭,박준영,박건우,양의지,마티니,오영수,서호철,도태훈,박대온,파슨스
2022-04-27,두산,김인태,정수빈,페르난데스,김재환,허경민,강진성,안재석,강승호,박세혁,최원준
2022-04-27,SSG,최지훈,최주환,최정,한유섬,크론,박성한,오태곤,최항,이흥련,김광현
2022-04-27,롯데,안치홍,정훈,한동희,이대호,피터스,김민수,조세진,신용수,정보근,박세웅
2022-04-27,LG,박해민,문성주,홍창기,김현수,채은성,유강남,오지환,루이즈,서건창,이민호
2022-04-27,삼성,김지찬,구자욱,피렐라,오재일,강민호,김태군,김성윤,이재현,김상수,수아레즈
2022-04-27,KIA,류지혁,김선빈,나성범,최형우,황대인,소크라테스,박동원,김석환,김도영,놀린
2022-04-27,KT,김민혁,황재균,오윤석,박병호,장성우,배정대,김병희,홍현빈,심우준,소형준
2022-04-27,키움,이용규,박찬혁,이정후,푸이그,김혜성,송성문,전병우,김주형,이지영,요키시
2022-04-27,한화,정은원,최재훈,터크먼,노시환,김태연,하주석,장운호,임종찬,허인서,윤대경
2022-04-28,NC,손아섭,전민수,박건우,양의지,마티니,노진혁,박준영,오영수,도태훈,김시훈
2022-04-28,두산,김인태,정수빈,페르난데스,김재환,박세혁,강승호,안재석,안권수,김재호,이영하
2022-04-28,SSG,최지훈,김성현,김강민,최정,크론,김규남,안상현,이현석,오태곤,노경은
