date,team,1,2,3,4,5,6,7,8,9,선발투수
2023-04-23,NC,박민우,천재환,박건우,손아섭,김성욱,오영수,도태훈,안중열,김한별,이용준
2023-04-25,SSG,추신수,최지훈,최정,에레디아,한유섬,최주환,박성한,전의산,김민식,문승원
2023-04-25,LG,홍창기,문성주,오지환,오스틴,문보경,김민성,박동원,서건창,박해민,켈리
2023-04-25,KT,김민혁,강백호,알포드,박병호,장성우,문상철,오윤석,이상호,김상수,엄상백
2023-04-25,키움,이용규,김혜성,이정후,러셀,이형종,박주홍,김태진,김휘집,이지영,안우진
2023-04-25,NC,박민우,천재환,박건우,손아섭,김성욱,김주원,오영수,도태훈,박세혁,페디
2023-04-25,KIA,류지혁,이창진,소크라테스,최형우,김선빈,고종욱,황대인,주효상,김규성,이의리
2023-04-26,SSG,추신수,최지훈,최정,에레디아,김강민,오태곤,박성한,김성현,김민식,송영진
2023-04-26,LG,홍창기,문성주,오지환,오스틴,문보경,김민성,김기연,서건창,박해민,김윤식
2023-04-26,KT,김민혁,김상수,알포드,박병호,강백호,문상철,박경수,강현우,신본기,벤자민
2023-04-26,키움,이용규,이형종,이정후,러셀,김혜성,김휘집,김동헌,박찬혁,박주홍,요키시
2023-04-26,NC,박민우,박세혁,박건우,손아섭,천재환,김주원,윤형준,도태훈,한석현,송명기
2023-04-26,KIA,이창진,고종욱,김선빈,최형우,소크라테스,황대인,변우혁,주효상,김규성,메디나
2023-04-26,한화,노수광,정은원,노시환,채은성,이성곤,최재훈,유로결,문현빈,오선진,장민재
2023-04-26,롯데,안권수,황성빈,고승민,렉스,전준우,안치홍,노진혁,한동희,유강남,스트레일리
2023-04-27,SSG,추신수,최지훈,최정,에레디아,최주환,한유섬,오태곤,박성한,김민식,김광현
2023-04-27,LG,홍창기,문성주,오지환,오스틴,문보경,김민성,박동원,송찬의,박해민,플럿코
2023-04-27,KT,조용호,강백호,알포드,박병호,장성우,오윤석,김상수,이상호,홍현빈,조이현
2023-04-27,키움,이용규,김혜성,이정후,러셀,이원석,이형종,김휘집,박찬혁,김동헌,후라도
2023-04-27,NC,박민우,서호철,박건우,손아섭,천재환,김성욱,김주원,오영수,안중열,구창모
2023-04-27,KIA,이창진,김선빈,소크라테스,최형우,황대인,변우혁,이우성,한승택,김규성,윤영철
2023-04-27,한화,노수광,김태연,노시환,채은성,정은원,최재훈,유로결,문현빈,박정현,김민우
2023-04-27,롯데,안권수,황성빈,고승민,렉스,전준우,안치홍,노진혁,한동희,유강남,나균안
2023-04-28,KIA,류지혁,고종욱,김선빈,최형우,황대인,소크라테스,이창진,한승택,박찬호,양현종
2023-04-28,LG,홍창기,문성주,오지환,오스틴,김현수,문보경,박동원,김민성,박해민,임찬규
2023-04-28,두산,허경민,송승환,양석환,양의지,강승호,신성현,김재호,장승현,정수빈,최승용
2023-04-28,SSG,추신수,최지훈,최정,에레디아,오태곤,한유섬,김성현,박성한,조형우,맥카티
2023-04-28,삼성,김지찬,피렐라,구자욱,강민호,오재일,이재현,김영웅,이병헌,김성윤,수아레즈
2023-04-28,KT,조용호,김민혁,알포드,박병호,강백호,장성우,박경수,이상호,김상수,슐서
2023-04-28,NC,손아섭,박세혁,박민우,박건우,천재환,김성욱,오영수,김주원,서호철,신민혁
2023-04-28,한화,노수광,문현빈,노시환,채은성,정은원,최재훈,장진혁,이성곤,이원석,페냐
2023-04-28,키움,이용규,이형종,이정후,러셀,이원석,김휘집,김태진,박찬혁,이지영,최원태
2023-04-28,롯데,안권수,황성빈,고승민,렉스,안치홍,노진혁,유강남,이학주,김민석,반즈
2023-04-29,KIA,류지혁,고종욱,김선빈,최형우,황대인,소크라테스,이창진,한승택,박찬호,앤더슨
2023-04-29,LG,홍창기,문성주,오지환,오스틴,김현수,문보경,박동원,서건창,박해민,강효종
2023-04-29,두산,정수빈,송승환,양석환,김재환,양의지,로하스,강승호,허경민,안재석,최원준
2023-04-29,SSG,추신수,최주환,최정,에레디아,한유섬,전의산,박성한,최상민,조형우,오원석
2023-04-29,삼성,김지찬,피렐라,구자욱,강민호,오재일,이재현,김태군,공민규,김성윤,원태인
2023-04-29,KT,조용호,홍현빈,알포드,박병호,강백호,장성우,오윤석,신본기,김상수,고영표
2023-04-29,NC,손아섭,서호철,박건우,오영수,김성욱,박세혁,천재환,김주원,도태훈,이용준
2023-04-29,한화,노수광,문현빈,노시환,채은성,정은원,박상언,장진혁,이성곤,이원석,남지민
2023-04-30,KIA,류지혁,고종욱,김선빈,최형우,황대인,소크라테스,이창진,주효상,박찬호,이의리
2023-04-30,LG,홍창기,문성주,김현수,오스틴,오지환,문보경,김민성,박동원,박해민,켈리
2023-04-30,두산,정수빈,조수행,양석환,김재환,양의지,안재석,허경민,로하스,강승호,곽빈
2023-04-30,SSG,추신수,최주환,최정,에레디아,한유섬,전의산,김성현,최상민,김민식,박종훈
2023-04-30,삼성,이재현,피렐라,구자욱,강민호,오재일,이성규,김영웅,윤정빈,김재상,백정현
2023-04-30,KT,홍현빈,강백호,알포드,장성우,김준태,황재균,조용호,오윤석,신본기,엄상백
2023-04-30,NC,손아섭,서호철,박민우,김성욱,천재환,박세혁,오영수,김주원,도태훈,페디
2023-04-30,한화,이원석,이진영,노시환,채은성,최재훈,박상언,김태연,유로결,오선진,문동주
2023-04-30,키움,이용규,김혜성,이정후,러셀,이원석,임병욱,이병규,김태진,이지영,안우진
2023-04-30,롯데,안권수,김민석,고승민,렉스,전준우,안치홍,한동희,유강남,이학주,한현희
