순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
361,고우석,22LP, -0.027 , 61 ,0.0,60.2, 14 , 4 ,8.0,2.0, .857 , 1.78 ,-0.33,0.0, 0.29 , 0.03 ,-0.25,-0.26, -5.10 , 0.00 ,-0.26,-0.027
362,함덕주,22LP, -0.028 , 13 ,0.0,12.2, 1 , 0 ,1.0,0.0, 1.000 , 0.71 ,-0.31,0.0, 0.00 , 0.01 ,0.03,-0.27, -25.37 , 0.00 ,-0.27,-0.028
363,박영현,22KP, -0.028 , 52 ,0.0,51.2, 7 , 0 ,6.0,1.0, .857 , 1.05 ,-0.11,0.0, -0.12 , 0.03 ,-0.07,-0.27, -6.33 , 0.00 ,-0.27,-0.028
364,서진용,22SP, -0.028 , 68 ,0.0,67.1, 16 , 6 ,10.0,0.0, 1.000 , 2.14 ,-0.16,0.0, -0.12 , -0.17 ,0.17,-0.27, -4.87 , 0.00 ,-0.27,-0.028
365,김지찬,22삼2B, -0.029 , 107 ,94.0,833.1, 512 , 208 ,282.0,22.0, .957 , 5.29 ,0.06,0.0, 0.00 , 0.00 ,-2.05,-1.99, -2.86 , 1.71 ,-0.28,-0.205
366,김규남,22SRF, -0.029 , 2 ,1.0,10.0, 4 , 4 ,0.0,0.0, 1.000 , 3.60 ,0.11,-0.34, 0.00 , 0.00 ,0.01,-0.22, -26.23 , -0.05 ,-0.27,-0.024
367,강윤구,22롯P, -0.029 , 29 ,0.0,21.1, 2 , 0 ,2.0,0.0, 1.000 , 0.84 ,0.02,0.0, -0.36 , 0.01 ,0.05,-0.28, -15.69 , 0.00 ,-0.28,-0.029
368,이대호,22롯1B, -0.030 , 8 ,7.0,63.0, 70 , 58 ,12.0,0.0, 1.000 , 10.00 ,0.11,0.0, 0.00 , 0.00 ,0.12,0.24, 4.48 , -0.53 ,-0.29,0.024
369,한승혁,22KP, -0.030 , 24 ,16.0,80.1, 15 , 4 ,9.0,2.0, .867 , 1.46 ,-0.13,0.0, 0.00 , 0.04 ,-0.2,-0.29, -4.31 , 0.00 ,-0.29,-0.03
370,임지열,22키LF, -0.030 , 22 ,18.0,155.0, 41 , 39 ,2.0,0.0, 1.000 , 2.38 ,-0.6,0.98, 0.00 , 0.00 ,0.1,0.48, 3.71 , -0.77 ,-0.29,0.05
371,김성진,22키P, -0.030 , 23 ,0.0,21.2, 4 , 2 ,2.0,0.0, 1.000 , 1.66 ,-0.35,0.0, 0.00 , 0.01 ,0.05,-0.29, -16.04 , 0.00 ,-0.29,-0.03
372,조형우,22SC, -0.031 , 5 ,1.0,20.0, 19 , 19 ,0.0,0.0, 1.000 , 8.55 ,0.0,0.0, -0.18 , -0.32 ,0.03,-0.47, -27.90 , 0.17 ,-0.3,-0.048
373,양승혁,22K2B, -0.031 , 5 ,2.0,15.0, 7 , 1 ,5.0,1.0, .857 , 3.60 ,-0.17,0.0, 0.00 , 0.00 ,-0.16,-0.33, -25.95 , 0.02 ,-0.3,-0.034
374,김태경,22NP, -0.032 , 16 ,7.0,44.1, 8 , 5 ,2.0,1.0, .875 , 1.42 ,-0.24,0.0, 0.00 , 0.02 ,-0.09,-0.31, -8.38 , 0.00 ,-0.31,-0.032
375,스탁,22두P, -0.034 , 29 ,29.0,165.0, 28 , 11 ,16.0,1.0, .964 , 1.47 ,-0.62,0.0, 0.00 , 0.08 ,0.21,-0.33, -2.37 , 0.00 ,-0.33,-0.034
376,김건태,22NP, -0.034 , 16 ,0.0,18.1, 4 , 0 ,2.0,2.0, .500 , 0.98 ,0.02,0.0, 0.00 , 0.01 ,-0.35,-0.33, -21.47 , 0.00 ,-0.33,-0.034
377,박시영,22KP, -0.034 , 17 ,0.0,15.2, 5 , 1 ,4.0,0.0, 1.000 , 2.87 ,-0.38,0.0, 0.00 , 0.01 ,0.04,-0.33, -25.14 , 0.00 ,-0.33,-0.034
378,김세민,22롯2B, -0.034 , 4 ,0.0,13.0, 6 , 1 ,5.0,0.0, 1.000 , 4.15 ,-0.41,0.0, 0.00 , 0.00 ,0.04,-0.37, -33.80 , 0.03 ,-0.33,-0.038
379,정찬헌,22키P, -0.035 , 20 ,20.0,87.1, 14 , 3 ,11.0,0.0, 1.000 , 1.44 ,-0.6,0.0, 0.00 , 0.04 ,0.22,-0.34, -4.68 , 0.00 ,-0.34,-0.035
380,문상준,22KSS, -0.036 , 2 ,0.0,8.0, 3 , 2 ,1.0,0.0, 1.000 , 3.38 ,-0.41,0.0, 0.00 , 0.00 ,0.03,-0.38, -57.39 , 0.03 ,-0.35,-0.039
381,이현승,22두P, -0.036 , 23 ,0.0,8.2, 1 , 0 ,1.0,0.0, 1.000 , 1.04 ,-0.37,0.0, 0.00 , 0.00 ,0.02,-0.35, -47.78 , 0.00 ,-0.35,-0.036
382,심창민,22NP, -0.036 , 11 ,0.0,6.1, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.37,0.0, 0.00 , 0.00 ,0.02,-0.35, -66.66 , 0.00 ,-0.35,-0.036
383,허준혁,22LP, -0.037 , 6 ,0.0,4.2, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.37,0.0, 0.00 , 0.00 ,0.01,-0.36, -91.72 , 0.00 ,-0.36,-0.037
384,고효준,22SP, -0.037 , 45 ,0.0,38.2, 8 , 3 ,4.0,1.0, .875 , 1.63 ,0.11,0.0, -0.12 , -0.25 ,-0.1,-0.36, -11.17 , 0.00 ,-0.36,-0.037
385,권민석,22두3B, -0.038 , 13 ,0.0,21.1, 12 , 11 ,1.0,0.0, 1.000 , 5.06 ,-0.37,0.0, 0.00 , 0.00 ,0.06,-0.31, -17.63 , -0.05 ,-0.36,-0.033
386,박정수,22두P, -0.038 , 13 ,0.0,19.2, 3 , 1 ,2.0,0.0, 1.000 , 1.37 ,-0.29,0.0, 0.00 , -0.12 ,0.05,-0.37, -22.42 , 0.00 ,-0.37,-0.038
387,스트레일리,22롯P, -0.039 , 11 ,11.0,62.1, 12 , 3 ,8.0,1.0, .917 , 1.59 ,-0.36,0.0, 0.00 , 0.03 ,-0.04,-0.38, -7.23 , 0.00 ,-0.38,-0.039
388,전민재,22두SS, -0.039 , 25 ,11.0,110.1, 59 , 24 ,33.0,2.0, .966 , 4.65 ,-0.86,0.0, 0.00 , 0.00 ,0.01,-0.85, -9.21 , 0.47 ,-0.38,-0.088
389,강민국,22키SS, -0.040 , 2 ,1.0,7.0, 4 , 1 ,2.0,1.0, .750 , 3.86 ,-0.24,0.0, 0.00 , 0.00 ,-0.17,-0.41, -70.09 , 0.03 ,-0.38,-0.042
390,최원준,22두P, -0.040 , 30 ,30.0,165.0, 20 , 7 ,11.0,2.0, .900 , 0.98 ,-0.48,0.0, 0.00 , 0.08 ,0.01,-0.39, -2.81 , 0.00 ,-0.39,-0.04
391,김범수,22한P, -0.041 , 78 ,0.0,66.0, 17 , 5 ,11.0,1.0, .941 , 2.18 ,-0.68,0.0, 0.29 , 0.03 ,-0.04,-0.39, -7.12 , 0.00 ,-0.39,-0.041
