팀,이름,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
KIA,류지혁,3.54,219,804,678,92,188,27,2,4,231,82,8,4,98,13,1,129,13,10,0.555,0.756,0.6779999999999999,1.4329999999999998,0.6859999999999999,212.2,3.54,0.93
KIA,박동원,2.08,112,407,352,51,86,18,0,17,155,53,1,0,38,9,4,87,9,7,0.244,0.333,0.44,0.773,0.343,110.8,2.08,-0.72
KIA,박민,-0.22,18,38,35,3,6,1,0,0,7,3,0,1,2,1,0,10,1,0,0.171,0.237,0.2,0.437,0.22,18.8,-0.22,-0.41
KIA,박정우,-0.09,32,61,48,3,9,1,0,0,10,4,0,2,10,2,0,8,2,1,0.188,0.35,0.208,0.558,0.294,67.6,-0.09,-0.24
KIA,박찬호,3.0300000000000002,402,1579,1391,195,343,53,5,8,430,140,65,20,147,1,0,227,34,27,0.738,0.9490000000000001,0.926,1.8760000000000001,0.881,212.9,3.0300000000000002,-1.17
KIA,백용환,0.52,51,106,91,12,20,4,0,5,39,10,0,0,14,0,0,29,2,1,0.22,0.324,0.429,0.752,0.336,93.9,0.52,-0.1
KIA,소크라테스,4.97,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,0.311,0.354,0.494,0.848,0.38,137.0,4.97,0.61
KIA,오선우,0.08,59,73,67,11,16,0,0,4,28,14,0,0,3,3,0,26,2,0,0.239,0.301,0.418,0.719,0.324,85.3,0.08,-0.13
KIA,유민상,0.69,150,529,450,45,110,25,0,9,162,71,0,0,61,12,1,98,14,2,0.479,0.72,0.6839999999999999,1.404,0.677,193.39999999999998,0.69,0.8
KIA,이우성,-0.12,193,304,264,40,64,13,0,1,80,19,4,4,31,3,0,48,9,5,0.6950000000000001,0.963,0.854,1.8170000000000002,0.8760000000000001,208.8,-0.12,-1.72
KIA,이정훈,0.14,41,151,129,14,32,6,0,2,44,14,0,0,19,3,0,33,3,0,0.248,0.358,0.341,0.699,0.34,98.9,0.14,-0.52
KIA,이진영,0.26,17,47,40,8,8,2,1,2,18,5,1,0,3,4,0,22,0,0,0.2,0.319,0.45,0.769,0.353,108.2,0.26,0.0
KIA,이창진,2.37,238,796,683,110,185,30,2,10,249,88,8,6,87,4,0,134,19,15,0.84,1.086,1.13,2.216,1.031,311.7,2.37,-1.55
KIA,장영석,-0.29,11,37,31,1,4,0,0,0,4,2,0,0,4,1,0,7,3,0,0.129,0.243,0.129,0.372,0.202,5.5,-0.29,-0.58
KIA,최원준,5.630000000000001,266,1080,948,154,291,37,12,6,370,79,54,16,94,17,0,103,8,13,0.621,0.758,0.7929999999999999,1.55,0.719,221.89999999999998,5.630000000000001,3.55
KIA,최정용,-0.5700000000000001,91,124,108,12,21,2,0,1,26,7,2,0,11,0,0,31,1,4,0.388,0.531,0.48,1.01,0.479,61.9,-0.5700000000000001,-0.7000000000000001
KIA,최형우,8.24,376,1576,1349,200,392,79,3,54,639,241,1,0,210,10,20,260,27,0,0.851,1.153,1.386,2.54,1.15,392.4,8.24,9.74
KIA,터커,6.550000000000001,269,1170,1010,142,277,64,1,41,466,172,0,2,137,17,4,133,24,0,0.5429999999999999,0.732,0.907,1.639,0.747,240.6,6.550000000000001,2.42
KIA,한승택,0.9,230,620,531,50,113,15,0,13,167,56,0,0,58,12,0,149,15,18,0.619,0.89,0.893,1.782,0.832,177.0,0.9,-2.15
KIA,홍종표,-0.34,40,88,80,7,20,3,0,0,23,7,0,2,4,0,0,13,1,3,0.25,0.282,0.288,0.57,0.259,43.2,-0.34,-1.01
KIA,황대인,1.67,278,970,874,84,221,41,1,31,357,152,0,0,75,9,2,183,33,1,0.77,0.982,1.233,2.216,1.014,300.9,1.67,-0.6599999999999999
KIA,황윤호,-0.09,25,73,70,5,17,3,0,0,20,5,2,0,3,0,0,10,3,0,0.243,0.274,0.286,0.56,0.264,46.3,-0.09,-1.18
LG,가르시아,0.59,39,156,136,21,28,6,1,4,48,19,4,1,19,1,0,40,4,0,0.206,0.308,0.353,0.661,0.31,93.1,0.59,-0.91
LG,구본혁,-0.7,248,143,124,30,19,2,1,1,26,10,0,0,10,3,0,25,2,4,0.29500000000000004,0.44699999999999995,0.405,0.8520000000000001,0.40900000000000003,20.799999999999997,-0.7,-0.41000000000000003
LG,김민성,1.77,300,916,797,80,188,46,0,16,282,106,5,5,76,15,4,166,19,18,0.6950000000000001,0.911,1.034,1.9449999999999998,0.889,230.3,1.77,-0.97
LG,김용의,-0.12000000000000001,203,116,97,47,23,3,1,1,31,14,13,3,12,0,0,20,3,5,0.41900000000000004,0.6479999999999999,0.579,1.228,0.5680000000000001,127.0,-0.12000000000000001,0.42
LG,김재성,-0.23,58,73,65,6,9,2,1,1,16,3,1,0,5,1,0,13,2,1,0.138,0.208,0.246,0.455,0.214,18.1,-0.23,-0.74
LG,김현수,13.5,423,1818,1577,246,475,83,5,62,754,322,5,3,211,10,19,157,21,0,0.9019999999999999,1.149,1.431,2.579,1.164,421.8,13.5,10.89
LG,김호은,0.0,69,112,103,12,25,5,0,2,36,11,0,0,7,2,0,14,2,0,0.243,0.304,0.35,0.653,0.303,77.5,0.0,0.74
LG,라모스,4.93,168,699,616,88,165,24,3,46,333,111,2,0,73,6,5,179,9,0,0.521,0.679,1.014,1.693,0.748,260.7,4.93,2.3000000000000003
LG,루이즈,-0.25,27,94,84,10,13,4,1,1,22,6,1,0,9,0,0,13,5,0,0.155,0.234,0.262,0.496,0.235,39.5,-0.25,-0.9
LG,문보경,5.08,233,795,684,89,192,33,4,17,284,95,10,1,93,1,2,120,16,8,0.545,0.7190000000000001,0.8140000000000001,1.5339999999999998,0.706,235.4,5.08,1.8900000000000001
