팀,이름,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
키움,이택근,-0.012,2,8,54.0,10,10,0,0,1.0,1.67,0.22,0.03,0.17,3.67,-0.29,-0.13,0.016
키움,임병욱,0.223,2,12,91.0,23,20,2,1,0.957,2.18,1.3,-0.16,2.18,28.7,0.16,2.35,0.208
키움,임지열,0.11399999999999999,34,25,210.0,52,49,3,0,2.0,4.18,0.44000000000000006,0.13,2.1799999999999997,40.6,-1.05,1.13,0.22199999999999998
키움,전병우,-0.01200000000000001,225,200,2029.4,1259,887,348,24,2.936,17.53,3.97,0.45999999999999996,4.430000000000001,6.17,-4.15,0.2699999999999996,0.422
키움,정찬헌,-0.011000000000000003,31,31,143.2,22,5,17,0,2.0,2.7199999999999998,-0.49,0.33,-0.10000000000000003,0.4400000000000004,0.0,-0.10000000000000003,-0.011000000000000003
키움,조상우,-0.054,3,0,54.1,4,2,2,0,1.0,0.66,-0.33,0.11,-0.58,-12.73,0.0,-0.58,-0.054
키움,주효상,0.199,2,19,191.1,172,154,14,4,0.977,7.9,0.21,-0.53,0.37,2.33,1.73,2.1,0.035
키움,최원태,0.129,56,69,358.3,75,31,43,1,2.955,5.6,0.6399999999999999,0.55,1.38,12.06,0.0,1.38,0.129
키움,크레익,-0.633,46,44,366.2,278,256,19,3,0.989,6.75,-4.01,-0.08,-3.69,-12.05,-2.68,-6.37,-0.367
키움,푸이그,-1.161,96,96,842.2,164,150,8,6,0.963,1.69,-7.08,-0.52,-7.17,-10.18,-4.27,-11.44,-0.728
키움,프레이타스,-0.014,10,10,63.0,53,44,8,1,0.981,7.43,-0.29,-0.1,-0.58,-10.96,0.44,-0.14,-0.058
키움,한현희,0.161,42,54,297.6,52,23,29,0,3.0,4.48,0.82,0.62,1.62,21.39,0.0,1.62,0.161
키움,허정협,-0.853,17,93,800.1,192,183,6,3,1.983,4.73,-3.4699999999999998,-0.13,-4.75,18.25,-4.46,-9.21,-0.43199999999999994
한화,강경학,-0.086,11,61,509.4,313,168,138,7,1.936,9.4,-0.94,-0.2,-1.1600000000000001,-3.9400000000000004,0.25,-0.9099999999999999,-0.11
한화,강상원,-0.162,31,9,130.0,29,29,0,0,1.0,2.01,-0.59,0.07,-1.36,-12.53,-0.26,-1.62,-0.136
한화,강재민,0.027,113,0,114.2,19,7,12,0,2.0,3.0,0.03,0.25,0.26,6.18,0.0,0.26,0.027
한화,권광민,-0.111,27,20,184.2,47,47,0,0,1.0,2.29,-0.04,0.13,-0.15,-0.98,-0.92,-1.07,-0.016
한화,김기중,-0.036,15,12,53.2,4,1,3,0,1.0,0.67,-0.48,0.1,-0.36,-8.05,0.0,-0.36,-0.036
한화,김도현,-0.003,2,15,64.2,11,5,5,1,0.909,1.39,0.0,-0.07,-0.03,-0.52,0.0,-0.03,-0.003
한화,김문호,-0.294,2,10,81.0,58,53,5,0,1.0,6.44,-2.07,0.1,-2.5,-37.01,-0.64,-3.14,-0.235
한화,김민우,-0.179,60,82,450.29999999999995,72,29,40,3,2.86,4.06,-2.4400000000000004,0.37,-1.8399999999999999,-15.34,0.0,-1.8399999999999999,-0.179
한화,김민하,0.22400000000000003,40,43,422.3,144,136,3,5,1.932,6.15,4.220000000000001,-0.74,4.11,19.970000000000002,-1.9,2.2,0.41100000000000003
한화,김범수,-0.07200000000000001,137,10,191.2,30,8,21,1,2.941,3.99,-0.91,0.19999999999999998,-0.7000000000000001,-11.23,0.0,-0.7000000000000001,-0.07200000000000001
한화,김인환,-0.388,75,71,604.2,628,568,56,4,0.994,9.29,0.9,0.36,1.26,2.5,-5.0,-3.74,0.131
한화,김종수,-0.116,2,0,50.0,13,4,7,2,0.846,1.98,-0.56,-0.3,-1.23,-29.43,0.0,-1.23,-0.116
한화,김지수,0.009999999999999995,12,14,120.0,34,31,2,1,1.95,4.9399999999999995,-0.25,-0.14,0.4,8.73,-0.38,0.020000000000000018,0.049
한화,김진영,-0.046,3,0,54.0,9,2,7,0,1.0,1.5,-0.1,0.11,-0.49,-10.91,0.0,-0.49,-0.046
한화,김태균,-0.205,3,51,402.0,373,352,21,0,1.0,8.35,0.82,0.64,1.46,4.35,-3.61,-2.15,0.139
한화,김태연,-0.15500000000000003,141,135,1125.0,442,196,225,21,1.907,6.73,-1.7800000000000002,-1.44,-1.5599999999999998,-0.75,0.13,-1.4300000000000002,-0.171
한화,김회성,-0.077,2,5,68.0,41,35,4,2,0.951,5.16,-0.27,-0.25,-0.52,-9.15,-0.29,-0.81,-0.049
한화,남지민,-0.042,22,20,89.0,20,7,10,3,0.85,1.72,-0.07,-0.38,-0.41,-5.48,0.0,-0.41,-0.042
한화,노수광,-0.19099999999999998,149,180,1545.3000000000002,448,430,12,6,2.964,7.83,-1.69,-0.31000000000000005,1.7200000000000002,4.92,-3.7,-1.97,0.188
한화,노시환,-0.512,191,278,2434.4,953,464,446,43,2.858,10.06,-5.72,-1.46,-7.17,-10.41,2.22,-4.96,-0.721
한화,노태형,-0.40800000000000003,15,38,323.2,218,154,57,7,1.936,12.67,-2.69,-0.6799999999999999,-3.37,-37.55,-0.77,-4.15,-0.331
한화,라미레즈,0.05,13,13,65.1,13,4,8,1,0.923,1.65,0.48,-0.04,0.48,8.75,0.0,0.48,0.05
한화,박상언,0.153,53,42,431.29999999999995,401,355,35,11,1.9489999999999998,16.05,0.46,-1.57,-2.13,-10.809999999999999,3.6500000000000004,1.51,-0.218
한화,박상원,-0.008,2,0,58.0,13,5,7,1,0.923,1.86,0.09,-0.08,-0.09,-1.82,0.0,-0.09,-0.008
한화,박정현,1.052,107,93,847.1,496,267,214,15,2.911,14.77,9.53,-0.38,9.14,30.6,1.03,10.17,0.95
한화,박한결,-0.268,2,5,59.1,27,8,17,2,0.926,3.79,-2.94,-0.22,-3.17,-63.86,0.32,-2.84,-0.298
한화,반즈,0.36,1,71,626.1,372,335,33,4,0.989,5.29,6.8,-0.11,7.99,15.26,-4.18,3.81,0.756
한화,백용환,0.059,24,19,164.2,160,149,10,1,0.994,8.69,0.2,0.05,-0.71,-5.13,1.3,0.6,-0.07
한화,변우혁,-0.075,15,10,91.1,69,57,9,3,0.957,6.5,0.05,-0.39,-0.34,-4.45,-0.39,-0.73,-0.035
한화,서폴드,0.055,2,28,165.0,38,13,24,1,0.974,2.02,0.34,0.13,0.58,4.21,0.0,0.58,0.055
한화,송광민,0.053,3,65,542.2,287,220,61,6,0.979,4.66,1.85,0.13,1.98,4.38,-1.43,0.56,0.189
한화,오선진,0.153,3,44,503.1,206,67,135,4,0.981,3.61,-0.79,0.65,-0.14,-0.33,1.75,1.61,-0.013
한화,원혁재,-0.141,9,7,55.0,16,16,0,0,1.0,2.62,-0.41,0.04,-1.07,-23.37,-0.27,-1.34,-0.113
한화,유로결,-0.288,27,17,160.2,32,30,1,1,0.969,1.74,-1.86,-0.09,-2.04,-15.21,-0.68,-2.72,-0.216
한화,유상빈,-0.164,14,13,101.0,14,14,0,0,1.0,1.25,-0.08,0.07,-1.09,-12.95,-0.5,-1.6,-0.112
한화,유장혁,0.046,33,40,357.1,102,100,2,0,2.0,4.85,0.78,0.18,0.8400000000000001,14.35,-0.3400000000000001,0.51,0.07699999999999999
한화,윤대경,-0.17900000000000002,69,23,203.3,33,11,20,2,2.822,4.09,-1.77,0.030000000000000006,-1.8900000000000001,-43.86,0.0,-1.8900000000000001,-0.17900000000000002
한화,이도윤,0.672,118,45,557.4,230,76,144,10,2.9,10.46,4.96,-0.21999999999999997,4.75,13.739999999999998,1.68,6.43,0.501
한화,이성곤,-0.492,65,54,458.1,442,412,24,6,1.974,17.23,-0.64,-0.33,-0.97,-5.35,-3.89,-4.87,-0.099
한화,이성열,-0.006,10,7,64.0,51,46,4,1,0.98,7.03,0.57,-0.08,0.49,9.12,-0.55,-0.06,0.049
