순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
132,조형우,23SC, -0.00 , 6 , 14 , 13 , 2 , 3 , 1 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 0 , .231 , .231 , .308 , .539 , .236 , 38.2 , -0.00 , -0.01 
133,황대인,23K1B, -0.01 , 21 , 83 , 73 , 8 , 16 , 3 , 0 , 2 , 25 , 13 , 0 , 0 , 6 , 2 , 1 , 20 , 3 , 0 , 2 , .219 , .289 , .342 , .632 , .296 , 79.0 , -0.01 , 0.28 
134,김인태,23두LF, -0.01 , 6 , 22 , 19 , 1 , 5 , 1 , 0 , 0 , 6 , 1 , 0 , 0 , 2 , 0 , 0 , 5 , 0 , 1 , 0 , .263 , .333 , .316 , .649 , .305 , 83.8 , -0.01 , 0.07 
135,김민혁,23두1B, -0.01 , 1 , 3 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , .000 , .333 , .000 , .333 , .245 , 40.2 , -0.01 , -0.01 
136,김건희,23키1B, -0.02 , 2 , 3 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .333 , .000 , .333 , .245 , 42.4 , -0.02 , -0.02 
137,이상민,23삼P, -0.02 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , -0.02 , -0.00 
138,강진성,23두1B, -0.02 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , -0.02 , -0.00 
139,김기연,23LC, -0.03 , 10 , 18 , 14 , 1 , 2 , 0 , 0 , 0 , 2 , 2 , 1 , 0 , 4 , 0 , 0 , 3 , 0 , 0 , 0 , .143 , .333 , .143 , .476 , .271 , 58.2 , -0.03 , 0.09 
140,김재호,23두SS, -0.03 , 10 , 14 , 12 , 0 , 2 , 0 , 0 , 0 , 2 , 2 , 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , .167 , .286 , .167 , .452 , .244 , 39.8 , -0.03 , 0.19 
141,송성문,23키3B, -0.03 , 2 , 9 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .333 , .000 , .333 , .245 , 42.4 , -0.03 , 0.03 
142,송준석,23삼RF, -0.04 , 6 , 8 , 8 , 0 , 2 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .250 , .250 , .250 , .500 , .243 , 38.9 , -0.04 , -0.11 
143,김호령,23KCF, -0.04 , 19 , 39 , 36 , 5 , 7 , 3 , 0 , 0 , 10 , 1 , 1 , 0 , 1 , 1 , 0 , 9 , 1 , 1 , 0 , .194 , .237 , .278 , .515 , .243 , 40.4 , -0.04 , -0.51 
144,오장한,23NRF, -0.04 , 3 , 8 , 7 , 2 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 5 , 0 , 0 , 0 , .143 , .250 , .143 , .393 , .213 , 21.8 , -0.04 , -0.06 
145,김성현,23S2B, -0.04 , 16 , 29 , 24 , 2 , 4 , 1 , 0 , 0 , 5 , 0 , 0 , 0 , 4 , 0 , 0 , 3 , 1 , 1 , 0 , .167 , .286 , .208 , .494 , .249 , 44.7 , -0.04 , -0.26 
146,안중열,23NC, -0.04 , 14 , 38 , 29 , 1 , 5 , 1 , 0 , 0 , 6 , 3 , 0 , 0 , 5 , 1 , 0 , 13 , 0 , 1 , 2 , .172 , .297 , .207 , .504 , .255 , 49.6 , -0.04 , 0.05 
147,김영웅,23삼3B, -0.04 , 5 , 14 , 13 , 0 , 3 , 1 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 1 , 0 , .231 , .231 , .308 , .539 , .236 , 35.0 , -0.04 , -0.30 
148,전의산,23S1B, -0.04 , 19 , 60 , 51 , 3 , 9 , 1 , 0 , 2 , 16 , 7 , 0 , 1 , 8 , 1 , 0 , 17 , 0 , 0 , 0 , .176 , .300 , .314 , .614 , .303 , 77.0 , -0.04 , -0.13 
149,허관회,23한C, -0.04 , 1 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , -0.04 , 0.00 
150,이명기,23한LF, -0.05 , 3 , 11 , 10 , 1 , 2 , 0 , 0 , 0 , 2 , 2 , 1 , 0 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , .200 , .273 , .200 , .473 , .243 , 40.6 , -0.05 , 0.10 
151,송재선,23키RF, -0.05 , 1 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , -0.05 , -0.01 
152,이진영,23한LF, -0.05 , 3 , 7 , 5 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , .000 , .286 , .000 , .286 , .210 , 17.4 , -0.05 , -0.10 
153,김한별,23NSS, -0.06 , 7 , 8 , 8 , 0 , 2 , 0 , 0 , 0 , 2 , 1 , 0 , 1 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .250 , .250 , .250 , .500 , .243 , 42.2 , -0.06 , 0.06 
154,강현우,23KC, -0.06 , 10 , 19 , 18 , 2 , 3 , 2 , 0 , 0 , 5 , 3 , 0 , 0 , 1 , 0 , 0 , 2 , 2 , 0 , 0 , .167 , .211 , .278 , .488 , .233 , 29.4 , -0.06 , -0.38 
155,서건창,23L2B, -0.06 , 26 , 97 , 81 , 14 , 18 , 5 , 2 , 0 , 27 , 12 , 3 , 3 , 10 , 0 , 0 , 9 , 5 , 3 , 3 , .222 , .298 , .333 , .631 , .291 , 71.6 , -0.06 , -0.89 
156,박주홍,23키1B, -0.06 , 14 , 35 , 30 , 3 , 6 , 0 , 1 , 0 , 8 , 1 , 0 , 0 , 4 , 0 , 0 , 15 , 0 , 0 , 1 , .200 , .286 , .267 , .552 , .272 , 60.6 , -0.06 , -0.25 
