팀,이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WPA
롯데,반즈,3.01,31,0,0,31,12,12,0,0,186.1,87,75,788,175,27,5,8,47,1,18,160,0,7,0.56
롯데,배성근,0.08,2,0,0,0,0,0,0,0,2.0,0,0,9,2,0,0,0,1,0,0,1,0,0,0.0
롯데,샘슨,0.3,25,0,0,25,9,12,0,0,130.0,87,78,590,167,25,1,14,36,0,6,87,2,8,-1.07
롯데,서준원,0.53,90,0,0,32,11,12,0,5,221.2,149,138,1002,267,41,3,24,83,4,12,142,0,6,-2.2199999999999998
롯데,송승준,0.1,22,0,0,1,2,2,0,1,24.2,17,17,119,30,5,2,2,14,2,3,25,0,3,-1.18
롯데,송재영,-0.93,19,0,0,0,0,2,0,1,14.2,23,22,79,24,6,0,3,12,0,1,13,0,1,-0.48
롯데,스트레일리,12.370000000000001,73,0,0,73,29,18,0,0,421.5,170,145,1751,364,60,4,27,139,0,21,424,1,14,4.62
롯데,스파크맨,-0.24,19,0,0,19,2,4,0,0,84.2,55,50,386,97,14,1,6,43,1,4,89,0,5,-0.88
롯데,오윤석,0.03,1,0,0,0,0,0,0,0,0.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
롯데,오현택,0.92,68,0,0,0,3,2,0,8,52.1,28,27,239,65,13,1,7,16,3,3,25,0,1,-0.7000000000000001
롯데,윤성빈,0.04,1,0,0,0,0,0,0,0,1.0,0,0,5,0,0,0,0,1,0,0,0,0,0,0.0
롯데,이강준,-0.54,24,0,0,0,0,0,0,1,14.399999999999999,18,17,91,16,1,0,2,29,0,2,10,0,3,-0.53
롯데,이대호,0.04,1,0,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05
롯데,이민석,-0.37,27,0,0,1,1,1,0,5,33.2,27,22,167,44,8,0,4,19,1,2,37,0,3,-0.49
롯데,이승헌,-0.24,25,0,0,21,3,6,0,0,93.60000000000001,68,60,443,102,14,1,3,57,1,9,67,2,14,-1.56
롯데,이인복,3.87,98,0,0,32,13,13,0,4,232.4,116,107,1017,285,48,4,13,56,2,10,137,0,6,-0.92
롯데,장원삼,-0.42,13,0,0,4,0,3,0,0,34.0,32,29,160,49,8,0,6,10,1,3,15,0,0,-1.2
롯데,정성종,-0.18000000000000002,17,0,0,0,0,0,0,0,16.1,16,13,86,23,2,0,2,12,0,1,9,0,2,-0.09000000000000001
롯데,정우준,-0.1,6,0,0,0,0,0,0,0,5.2,6,6,29,6,2,0,1,5,0,2,4,0,0,-0.19
롯데,정태승,-0.15,1,0,0,0,0,0,0,0,1.2,4,4,11,4,1,0,1,2,0,0,1,0,0,-0.11
롯데,조무근,0.02,2,0,0,0,0,0,0,0,2.0,1,1,9,2,1,0,0,1,0,0,1,0,0,0.0
롯데,진명호,0.18,86,0,0,0,2,3,0,5,71.30000000000001,51,49,333,72,14,1,7,45,0,6,67,0,3,-2.2
