순위,이름,팀,WAR,타격,도루,주루,수비,Rep.Wins,Pos.Wins,WAA_투수_선발,WAA_투수_구원,Rep.wins_선발,Rep.wins_구원,WAR_투수_선발,WAR_투수_구원
89,김지찬,22삼2B,1.88,-0.38,0.32,0.18,-0.21,1.79,0.18,0.00,0.00,0.00,0.00,0.00,0.00
,김시훈,22NP,1.88,0.00,0.00,0.00,0.00,0.00,0.00,-0.51,1.28,0.42,0.69,-0.09,1.97
91,박세웅,22롯P,1.87,0.00,0.00,0.00,0.00,0.00,0.00,-0.23,0.00,2.10,0.00,1.87,0.00
92,최재훈,22한C,1.85,-0.70,-0.05,0.05,0.07,1.82,0.66,0.00,0.00,0.00,0.00,0.00,0.00
,김준태,22KC,1.85,0.40,0.03,-0.08,0.03,1.12,0.35,0.00,0.00,0.00,0.00,0.00,0.00
94,페르난데스,22두DH,1.84,1.18,-0.03,-0.23,0.01,2.29,-1.39,0.00,0.00,0.00,0.00,0.00,0.00
,김영규,22NP,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.88,0.00,1.84
96,스트레일리,22롯P,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.83,0.00,1.82,0.00
97,정해영,22KP,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.75,0.00,1.78
98,김현준,22삼CF,1.76,0.25,-0.05,-0.10,-0.20,1.76,0.10,0.00,0.00,0.00,0.00,0.00,0.00
,알포드,22KLF,1.76,1.49,0.04,-0.01,-0.71,1.35,-0.40,0.00,0.00,0.00,0.00,0.00,0.00
100,강한울,22삼3B,1.74,0.57,-0.02,0.14,-0.10,1.05,0.10,0.00,0.00,0.00,0.00,0.00,0.00
101,오승환,22삼P,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.76,0.00,1.69
102,양현종,22KP,1.68,0.00,0.00,0.00,0.00,0.00,0.00,-0.66,0.00,2.34,0.00,1.68,0.00
103,임기영,22KP,1.66,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,0.14,1.67,0.05,1.47,0.19
104,김명신,22두P,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,1.06,0.00,1.64
105,김강민,22SCF,1.63,0.70,-0.12,-0.06,0.30,0.84,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
106,최원준,22두P,1.62,0.00,0.00,0.00,0.00,0.00,0.00,-0.58,0.00,2.20,0.00,1.62,0.00
107,이인복,22롯P,1.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,-0.02,1.62,0.07,1.54,0.05
108,이우찬,22LP,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.60,0.00,1.54
109,진해수,22LP,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.60,0.00,1.53
,김진성,22LP,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.77,0.00,1.53
111,이승호,22키P,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.67,0.00,1.49
,김태군,22삼C,1.49,0.16,-0.01,-0.14,0.27,0.98,0.23,0.00,0.00,0.00,0.00,0.00,0.00
113,구자욱,22삼RF,1.47,0.34,0.16,0.02,-0.43,1.84,-0.46,0.00,0.00,0.00,0.00,0.00,0.00
114,김대유,22LP,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.53,0.00,1.39
115,전준우,22롯LF,1.35,1.26,-0.03,0.33,-1.75,2.15,-0.61,0.00,0.00,0.00,0.00,0.00,0.00
,이재원,22LDH,1.35,0.65,0.01,-0.06,0.16,1.05,-0.46,0.00,0.00,0.00,0.00,0.00,0.00
,이지영,22키C,1.35,-1.37,-0.04,-0.06,0.09,1.88,0.85,0.00,0.00,0.00,0.00,0.00,0.00
,김재성,22삼DH,1.35,0.95,-0.01,-0.23,-0.01,0.77,-0.11,0.00,0.00,0.00,0.00,0.00,0.00
119,애플러,22키P,1.33,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.06,1.72,0.16,1.12,0.21
120,서진용,22SP,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.90,0.00,1.30
121,이준영,22KP,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.62,0.00,1.29
,최준용,22롯P,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.95,0.00,1.29
123,라가레스,22SLF,1.28,0.64,0.01,-0.08,0.08,0.84,-0.21,0.00,0.00,0.00,0.00,0.00,0.00
